event_type timestamp participant_id condition with_autocompletion entered_content start_time_in_s end_time_in_s duration_in_s
EventTypes.KEY_PRESSED,1621444232.1596098,1,with_autocompletion_text_2,True,,1621444232.1596117,1621444232.1596124,0
EventTypes.KEY_PRESSED,1621444232.3180377,1,with_autocompletion_text_2,True,I,1621444232.3180397,1621444232.3180404,0
EventTypes.KEY_PRESSED,1621444232.4678025,1,with_autocompletion_text_2,True,c,1621444232.4678044,1621444232.4678047,0
EventTypes.KEY_PRESSED,1621444232.735269,1,with_autocompletion_text_2,True,h,1621444232.7352707,1621444232.735271,0
EventTypes.KEY_PRESSED,1621444233.1115792,1,with_autocompletion_text_2,True,k,1621444233.1115808,1621444233.111581,0
EventTypes.KEY_PRESSED,1621444233.2612658,1,with_autocompletion_text_2,True,ö,1621444233.261267,1621444233.2612672,0
EventTypes.KEY_PRESSED,1621444233.4685447,1,with_autocompletion_text_2,True,n,1621444233.4685466,1621444233.4685469,0
EventTypes.KEY_PRESSED,1621444234.2675772,1,with_autocompletion_text_2,True,j,1621444234.2675786,1621444234.2675788,0
EventTypes.KEY_PRESSED,1621444234.3443794,1,with_autocompletion_text_2,True,e,1621444234.3443809,1621444234.344381,0
EventTypes.KEY_PRESSED,1621444234.7970128,1,with_autocompletion_text_2,True,t,1621444234.797015,1621444234.7970157,0
EventTypes.KEY_PRESSED,1621444235.3738022,1,with_autocompletion_text_2,True,n,1621444235.3738039,1621444235.373804,0
EventTypes.KEY_PRESSED,1621444235.5505452,1,with_autocompletion_text_2,True,i,1621444235.5505476,1621444235.5505483,0
EventTypes.KEY_PRESSED,1621444235.6226504,1,with_autocompletion_text_2,True,c,1621444235.6226518,1621444235.622652,0
EventTypes.KEY_PRESSED,1621444236.4950392,1,with_autocompletion_text_2,True,z,1621444236.4950407,1621444236.4950411,0
EventTypes.KEY_PRESSED,1621444236.5730479,1,with_autocompletion_text_2,True,e,1621444236.5730495,1621444236.5730498,0
EventTypes.KEY_PRESSED,1621444236.7496817,1,with_autocompletion_text_2,True,i,1621444236.7496843,1621444236.7496848,0
EventTypes.KEY_PRESSED,1621444239.4175284,1,with_autocompletion_text_2,True,,,1621444239.4175305,1621444239.4175308,0
EventTypes.WORD_TYPED,1621444239.417627,1,with_autocompletion_text_2,True,Ich,1621444239.4176228,1621444232.3181484,7.0994744300842285
EventTypes.KEY_PRESSED,1621444239.602911,1,with_autocompletion_text_2,True, ,1621444239.6029136,1621444239.602914,0
EventTypes.KEY_PRESSED,1621444239.7735214,1,with_autocompletion_text_2,True,n,1621444239.7735238,1621444239.7735245,0
EventTypes.KEY_PRESSED,1621444239.9268637,1,with_autocompletion_text_2,True,i,1621444239.9268653,1621444239.9268658,0
EventTypes.KEY_PRESSED,1621444240.0187712,1,with_autocompletion_text_2,True,c,1621444240.0187738,1621444240.0187747,0
EventTypes.KEY_PRESSED,1621444240.5861723,1,with_autocompletion_text_2,True,e,1621444240.586174,1621444240.5861745,0
EventTypes.KEY_PRESSED,1621444240.672365,1,with_autocompletion_text_2,True,i,1621444240.6723669,1621444240.6723676,0
EventTypes.KEY_PRESSED,1621444240.8158836,1,with_autocompletion_text_2,True,n,1621444240.815885,1621444240.8158855,0
EventTypes.KEY_PRESSED,1621444241.3603122,1,with_autocompletion_text_2,True,,1621444241.3603144,1621444241.3603148,0
EventTypes.KEY_PRESSED,1621444241.404501,1,with_autocompletion_text_2,True,S,1621444241.4045026,1621444241.404503,0
